"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_confusion,score_numbness,score_vision,score_nosebleed,score_urgency,score_location,total_raw_score,awareness_score
Neurologist,Yes,Immediately,yes,yes,no,yes,15-25,Female,undergraduate,Not Specified,Unknown,Unknown,Unknown /No Response,"Paralysis / Weakness, Dizziness",Unaware,No response,4,1,1,1,1,2,0,0,33,5.24
Physician,No,Within a day,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Neurologist,No,Within a month,no,no,no,no,15-25,Female,speciality,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,,Other,No response,4,0,0,0,0,2,0,0,16,2.54
Physician,No,Within a week,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,No,I would not consult a specialist,no,no,no,maybe,15-25,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Physician,Yes,Within a day,no,no,no,no,15-25,Female,graduate,"Above 8,00,000",Unknown,Unknown,Unknown /No Response,Dizziness,Unaware,No response,0,1,0,0,0,2,0,0,9,1.43
Physician,Yes,Immediately,no,no,no,no,15-25,Male,graduate,"4,00,001 - 6,00,000",Unknown,Unknown,Unknown /No Response,Paralysis / Weakness,Unaware,No response,0,1,0,0,0,2,0,0,9,1.43
Neurologist,Maybe,Within a month,no,no,no,no,15-25,Male,other,"2,00,001 - 4,00,000",Unaware,Unaware,Unknown /No Response,Unaware,Unaware,Unaware / No Idea,4,0,0,0,0,2,0,0,16,2.54
Physician,No,Immediately,maybe,maybe,maybe,maybe,26-40,Female,graduate,"Below 2,00,000",Family/Friend,Unaware,Unknown /No Response,,Other,other,0,0,0,0,0,1,0,0,2,0.32
Physician,No,Other,no,no,no,no,15-25,Male,other,Not Specified,Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,2,0,0,4,0.63
Neurologist,Yes,Within a week,maybe,maybe,no,yes,26-40,Female,graduate,Not Specified,Unknown,Unknown,Doctor /Specialist,Paralysis / Weakness,Other,No response,4,1,0,0,1,2,0,0,23,3.65
Physician,Yes,Within a day,maybe,maybe,no,maybe,60+,Male,high school,"4,00,001 - 6,00,000",Unaware,after few days (2-3days or week),Doctor /Specialist,"Paralysis / Weakness, Vision Problems",Other,No response,0,1,0,0,0,2,0,0,9,1.43
Physician,Yes,Immediately,yes,no,no,yes,26-40,Female,graduate,"Below 2,00,000",Family/Friend,Immediate,Doctor /Specialist,,Other,Seek Medical Help,0,1,1,0,1,2,0,0,16,2.54
Neurologist,Yes,Immediately,maybe,maybe,no,maybe,15-25,Female,graduate,"Below 2,00,000",Doctor,Immediate,Doctor /Specialist,Paralysis / Weakness,Other,No response,4,1,0,0,0,2,0,0,21,3.33
Physician,No,Within a week,maybe,maybe,maybe,no,26-40,Female,graduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,,Unaware,No response,0,0,0,0,0,1,0,0,2,0.32
Physician,Yes,Immediately,yes,yes,yes,yes,26-40,Female,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,"Speech / Confusion, Paralysis / Weakness",Unaware,No response,0,1,1,1,1,0,0,0,17,2.7
Physician,Yes,Within a week,yes,yes,yes,yes,15-25,Female,graduate,"Below 2,00,000",Emergency Services,Immediate,Hospital /Medical Centre,Paralysis / Weakness,Other,Seek Medical Help,0,1,1,1,1,0,0,3,32,5.08
"ENT (Ear, Nose, and Throat specialist)",Yes,Within a month,yes,yes,no,yes,15-25,Male,undergraduate,Not Specified,Unknown,Unknown,Hospital /Medical Centre,"Paralysis / Weakness, Vision Problems",Other,No response,2,1,1,1,1,2,0,3,42,6.67
Physician,Maybe,Within a day,maybe,yes,maybe,maybe,15-25,Male,graduate,Not Specified,Unknown,Unknown,Unknown /No Response,Headache,Unaware,No response,0,0,0,1,0,1,0,0,7,1.11
"ENT (Ear, Nose, and Throat specialist)",No,Other,maybe,maybe,maybe,maybe,15-25,Male,graduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,2,0,0,0,0,1,0,0,8,1.27
Neurologist,No,I would not consult a specialist,no,no,no,no,15-25,Female,undergraduate,"Below 2,00,000",Unknown,Unknown,Unknown /No Response,Headache,Unaware,No response,4,0,0,0,0,2,0,0,16,2.54
"ENT (Ear, Nose, and Throat specialist)",No,Other,no,no,no,no,15-25,Male,graduate,"2,00,001 - 4,00,000",Unknown,Unknown,Unknown /No Response,Unaware,Unaware,No response,2,0,0,0,0,2,0,0,10,1.59
